asesinan	you	weareallharry	venezuela	vaina	que	from	seu	obama	cont	note	perfil	besos	
74.0	4121.0	2064.0	134.0	20.0	59049.0	1140.0	107.0	405.0	32.0	39.0	232.0	655.0	
cont	note
venezuela	que
que	obama
que	cont
weareallharry	que
que	seu
you	venezuela
seu	perfil
venezuela	cont
you	weareallharry
asesinan	cont
vaina	que
que	besos
asesinan	venezuela
venezuela	obama
que	perfil
asesinan	que
you	from
venezuela	from
